Original Question,Generated Question,Expected Question,Source Bloom,Target Bloom,Predicted Bloom,Confidence,Retry Count,Generation Time,Validation Result,Comments
Define normalization in database management systems and state its primary goal.,Define normalization in database management systems.,,Remember,Remember,Remember,99.99,0,2.64,Exact Match,Exact Match: True. BLEU: 0.435. ROUGE-L: 0.706.
List the ACID properties of a database transaction and briefly describe each.,List the ACID properties of a transaction.,,Understand,Remember,Remember,99.99,0,3.09,Exact Match,Exact Match: True. BLEU: 0.413. ROUGE-L: 0.737.
State the purpose of a primary key in a relational database schema.,State the purpose of a primary key in a relational database schema.,,Remember,Remember,Remember,99.98,0,2.2,Exact Match,Exact Match: True. BLEU: 1.0. ROUGE-L: 1.0.
Identify the four standard isolation levels defined by the SQL standard for transactions.,Identify the isolation level commonly used to identify transaction types in SQL.,,Remember,Remember,Remember,99.97,0,3.0,Exact Match,Exact Match: True. BLEU: 0.04. ROUGE-L: 0.32.
Name the three types of anomalies that arise from an un-normalised relational table.,Identify the types of anomalies that arise from an un-normalised relational table.,,Remember,Remember,Remember,99.98,0,2.52,Exact Match,Exact Match: True. BLEU: 0.781. ROUGE-L: 0.889.
Define the OSI model and state the function of each of its seven layers.,Define the OSI layer.,,Remember,Remember,Remember,99.99,0,2.8,Exact Match,Exact Match: True. BLEU: 0.032. ROUGE-L: 0.333.
Identify the fields contained in an IPv4 packet header.,List the IPv4 address fields used for addressing incoming packets.,,Remember,Remember,Remember,99.98,0,3.27,Exact Match,Exact Match: True. BLEU: 0.028. ROUGE-L: 0.211.
State the difference between TCP and UDP in terms of connection establishment.,List the characteristics of TCP and UDP.,,Remember,Remember,Remember,99.99,0,2.97,Exact Match,Exact Match: True. BLEU: 0.093. ROUGE-L: 0.421.
List the conditions that must hold simultaneously for deadlock to occur in an operating system.,List the conditions that must hold simultaneously for deadlock to occur in an operating system.,,Remember,Remember,Remember,99.97,0,2.76,Exact Match,Exact Match: True. BLEU: 1.0. ROUGE-L: 1.0.
Define a page fault and state under what condition it is triggered.,State the purpose of a page fault in SQL.,,Remember,Remember,Remember,99.98,0,1.99,Exact Match,Exact Match: True. BLEU: 0.094. ROUGE-L: 0.286.
Identify the scheduling criterion optimised by the Shortest Job First algorithm.,Identify the scheduling criterion optimized by the Shortest Job First algorithm.,,Remember,Remember,Remember,99.98,1,4.7,Exact Match,Exact Match: True. BLEU: 0.705. ROUGE-L: 0.909.
State the four phases of the Unified Software Development Life Cycle in Agile development.,Define the Agile phases of the Unified Software Development Life Cycle.,,Create,Remember,Remember,99.91,0,2.67,Exact Match,Exact Match: True. BLEU: 0.549. ROUGE-L: 0.72.
Define cohesion and coupling in the context of software module design.,Define cohesion and coupling.,,Create,Remember,Remember,99.99,3,8.43,Best Candidate,Exact Match: True. BLEU: 0.174. ROUGE-L: 0.533.
List the five SOLID principles used in object-oriented software design.,State the principles of object-oriented software design.,,Create,Remember,Remember,62.56,3,7.48,Exact Match,Exact Match: True. BLEU: 0.272. ROUGE-L: 0.632.
Define a binary search tree and state its ordering property.,Define a binary search tree and state its ordering property.,,Remember,Remember,Remember,99.98,0,2.29,Exact Match,Exact Match: True. BLEU: 1.0. ROUGE-L: 1.0.
Identify the time complexity of searching in a balanced AVL tree.,Identify the process involved in searching a balanced AVL tree.,,Remember,Remember,Remember,99.98,0,2.58,Exact Match,Exact Match: True. BLEU: 0.314. ROUGE-L: 0.667.
State the difference between a stack and a queue in terms of element access order.,List the advantages of using stack over queue for element access.,,Remember,Remember,Remember,99.96,1,4.65,Exact Match,Exact Match: True. BLEU: 0.037. ROUGE-L: 0.385.
Explain how a B-tree index improves the performance of SQL SELECT queries in a database.,Describe the advantages of using a B-tree index for multidimensional query execution.,,Understand,Understand,Understand,99.9,2,7.91,Exact Match,Exact Match: True. BLEU: 0.177. ROUGE-L: 0.276.
Describe the two-phase commit protocol and explain why it guarantees atomicity across distributed databases.,Describe the purpose of the two-phase commit protocol in distributed databases.,,Understand,Understand,Understand,99.96,2,7.63,Exact Match,Exact Match: True. BLEU: 0.313. ROUGE-L: 0.593.
Explain the difference between a clustered index and a non-clustered index in a relational database.,Describe the role of clustered and non-clustered indexes in relational database management.,,Understand,Understand,Understand,99.97,0,3.22,Exact Match,Exact Match: True. BLEU: 0.044. ROUGE-L: 0.552.
Describe how the three-way handshake establishes a TCP connection between a client and a server.,Interpret how TCP forwards data from one client to another.,,Understand,Understand,Understand,90.54,0,2.5,Exact Match,Exact Match: True. BLEU: 0.015. ROUGE-L: 0.231.
Explain how DHCP automatically assigns IP addresses to devices on a network.,Explain how DHCP automatically assigns IP addresses to devices on a network.,,Understand,Understand,Understand,99.94,1,4.79,Exact Match,Exact Match: True. BLEU: 1.0. ROUGE-L: 1.0.
Describe the role of ARP in resolving IP addresses to MAC addresses on a local area network.,Interpret the process of resolving IP addresses using ARP.,,Understand,Understand,Understand,99.84,3,8.78,Best Candidate,Exact Match: True. BLEU: 0.06. ROUGE-L: 0.385.
Explain how the banker's algorithm prevents deadlock in a multi-process operating system.,Describe how the banker's algorithm prevents deadlocks during sequential process execution.,,Understand,Understand,Understand,99.96,0,3.73,Exact Match,Exact Match: True. BLEU: 0.372. ROUGE-L: 0.538.
Describe the difference between preemptive and non-preemptive scheduling in operating systems.,Interpret the advantages of non-preemptive scheduling over preemptive scheduling.,,Understand,Understand,Understand,98.12,0,2.19,Exact Match,Exact Match: True. BLEU: 0.1. ROUGE-L: 0.364.
Explain how version control systems such as Git support collaborative software development.,Explain how Git maintains synchronized version updates and distributed software repositories.,,Create,Understand,Understand,99.96,0,2.69,Exact Match,Exact Match: True. BLEU: 0.047. ROUGE-L: 0.348.
Describe the role of a design pattern and explain how the Singleton pattern enforces a single instance.,Describe how the Singleton pattern enforces a single instance in a system.,,Create,Understand,Understand,99.96,0,2.88,Exact Match,Exact Match: True. BLEU: 0.43. ROUGE-L: 0.621.
Explain how depth-first search traverses a graph and identify its time complexity.,Interpret the operation of depth-first search using a large-scale graph and explain how it simplifies the time complexity of searching in this graph.,,Understand,Understand,Understand,99.97,3,12.62,Exact Match,Exact Match: True. BLEU: 0.065. ROUGE-L: 0.421.
Describe the collision resolution strategy used by open addressing in a hash table.,Describe how the number of nodes in a hash table reduces the risk of a collision.,,Understand,Understand,Understand,99.87,3,8.68,Best Candidate,Exact Match: True. BLEU: 0.183. ROUGE-L: 0.414.
Explain how a min-heap maintains its structural and ordering properties after insertion.,Explain the structure of a min-heap tree and explain how it maintains its structural and ordering properties after insertion.,,Understand,Understand,Understand,99.94,1,5.74,Exact Match,Exact Match: True. BLEU: 0.448. ROUGE-L: 0.727.
Explain how gradient descent minimises the loss function during neural network training.,Describe how gradient descent reduces loss of information during neural network training.,,Understand,Understand,Understand,99.95,3,8.11,Best Candidate,Exact Match: True. BLEU: 0.327. ROUGE-L: 0.667.
Describe the difference between supervised and unsupervised learning and give one application of each.,Explain the working principle of unsupervised learning and supervised learning and how each approach differs.,,Understand,Understand,Understand,99.98,0,3.9,Exact Match,Exact Match: True. BLEU: 0.086. ROUGE-L: 0.345.
Explain how a convolutional neural network extracts spatial features from an input image.,Explain how a convolutional neural network extracts spatial features from an image.,,Understand,Understand,Understand,99.95,3,8.78,Exact Match,Exact Match: True. BLEU: 0.85. ROUGE-L: 0.96.
Describe the concept of the A* search algorithm and explain why it is considered optimal.,Summarize the advantages of using the A* search algorithm.,,Understand,Understand,Understand,99.97,0,3.3,Exact Match,Exact Match: True. BLEU: 0.176. ROUGE-L: 0.5.
"Given a relation in first normal form with transitive dependencies, apply the rules of third normal form to decompose it.",Implement the rules of third normal form for a relation in first normal form with transitive dependencies.,,Apply,Apply,Apply,99.99,0,3.34,Exact Match,Exact Match: True. BLEU: 0.64. ROUGE-L: 0.486.
Apply the concept of indexing to design an efficient query plan for a table with 10 million rows.,Apply a simple SQL query plan using an indexing algorithm to select an appropriate column for a 10 million-row table and compute the expected index size.,,Create,Apply,Apply,99.99,0,3.83,Exact Match,Exact Match: True. BLEU: 0.031. ROUGE-L: 0.356.
"Given a network topology, apply Dijkstra's algorithm to find the shortest path between two routers.",Use Dijkstra's algorithm to determine the shortest path between two routers.,,Apply,Apply,Apply,99.99,0,3.1,Exact Match,Exact Match: True. BLEU: 0.457. ROUGE-L: 0.714.
Apply CIDR notation to calculate the number of usable hosts in a subnet with a /26 prefix.,Implement the CIDR notation for the given IP address to determine the number of usable hosts in a subnet with a /26 prefix.,,Apply,Apply,Apply,99.99,0,3.95,Exact Match,Exact Match: True. BLEU: 0.528. ROUGE-L: 0.75.
Demonstrate how to implement the producer-consumer problem using semaphores in an operating system context.,Execute the semaphore behavior for a producer and consumer transaction using its parent system.,,Apply,Apply,Apply,99.99,0,3.47,Exact Match,Exact Match: True. BLEU: 0.02. ROUGE-L: 0.345.
Apply the Round Robin scheduling algorithm to compute average waiting time for a given set of processes.,Apply the Round Robin scheduling algorithm to calculate waiting time for a set of processes in a Linux kernel.,,Apply,Apply,Apply,99.99,0,3.32,Exact Match,Exact Match: True. BLEU: 0.511. ROUGE-L: 0.778.
"Use UML class diagrams to model a library management system with members, books, and loans.","Implement a UML class diagram for a library management system with members, books, and loans.",,Apply,Apply,Apply,99.99,0,3.3,Exact Match,Exact Match: True. BLEU: 0.6. ROUGE-L: 0.733.
Apply Dijkstra's shortest-path algorithm to a weighted directed graph and trace its execution step by step.,Demonstrate the execution of Dijkstra's shortest-path algorithm for a weighted directed graph.,,Apply,Apply,Apply,99.99,0,3.61,Exact Match,Exact Match: True. BLEU: 0.347. ROUGE-L: 0.563.
"Implement a merge sort algorithm and trace its execution on the array [5, 2, 8, 1, 9, 3].","Implement merge sort for the array [5, 2, 8, 1, 9, 3] and trace its execution on the array ([5, 2, 8, 3, 3], [1, 4, 2, 3, 2]).",,Apply,Apply,Apply,99.99,0,4.2,Exact Match,Exact Match: True. BLEU: 0.45. ROUGE-L: 0.638.
Apply the k-nearest neighbours algorithm to classify a new data point in a two-dimensional feature space.,Perform the k-nearest neighbours algorithm to classify a new object in a two-dimensional feature space.,,Apply,Apply,Apply,99.97,0,4.04,Exact Match,Exact Match: True. BLEU: 0.72. ROUGE-L: 0.857.
Use the naive Bayes classifier to compute the probability that a given email is spam based on word frequencies.,Implement the naive Bayes classifier to predict the probability of email spam.,,Apply,Apply,Apply,99.99,0,4.23,Exact Match,Exact Match: True. BLEU: 0.221. ROUGE-L: 0.581.
Apply the minimax algorithm with alpha-beta pruning to determine the optimal move in a given game tree.,Demonstrate the minimax algorithm for a search tree and explain how it prunes the tree to select the optimal move.,,Apply,Apply,Apply,99.99,3,12.8,Best Candidate,Exact Match: True. BLEU: 0.09. ROUGE-L: 0.368.
Apply RSA encryption to encode a short plaintext message using given public key parameters.,Apply RSA encryption to secure the plaintext message.,,Apply,Apply,Apply,99.99,0,3.46,Exact Match,Exact Match: True. BLEU: 0.2. ROUGE-L: 0.545.
Demonstrate how a SQL injection attack exploits an unsanitised login form and how parameterised queries prevent it.,Execute a SQL injection attack on a student record that injects a subset of login_form parameters into a student database.,,Apply,Apply,Apply,99.92,0,4.1,Exact Match,Exact Match: True. BLEU: 0.125. ROUGE-L: 0.216.
"Given a set of processes and a resource allocation table, apply the resource allocation graph algorithm to detect deadlock.",Implement the resource allocation graph to identify a deadlock in a resource management process and determine whether it is a resource allocation problem.,,Apply,Apply,Apply,99.99,1,6.06,Exact Match,Exact Match: True. BLEU: 0.173. ROUGE-L: 0.286.
Apply the principles of structured query language to write a stored procedure that calculates cumulative sales by quarter.,Implement a SQL stored procedure for storing sales history that calculates cumulative sales by the number of days in a month.,,Apply,Apply,Apply,99.99,0,3.64,Exact Match,Exact Match: True. BLEU: 0.219. ROUGE-L: 0.41.
Analyse the trade-offs between using a relational database and a document-oriented NoSQL database for a high-volume social media platform.,Investigate the performance trade-offs of using a relational database for high-volume social media applications and analyze its behavior under varying workloads in database management systems deployments.,,Analyze,Analyze,Analyze,100.0,0,5.21,Exact Match,Exact Match: True. BLEU: 0.211. ROUGE-L: 0.48.
Break down the components of the query execution engine and explain how each stage contributes to query optimisation.,Analyze the execution of the query engine and identify the optimisation route used for each query step.,,Understand,Analyze,Analyze,100.0,3,16.73,Best Candidate,Exact Match: True. BLEU: 0.083. ROUGE-L: 0.457.
"Compare and contrast OSPF and BGP routing protocols in terms of scope, convergence speed, and use case.","Differentiate between OSPF and BGP routing protocols based on convergence speed, routing requirements, and use case.",,Analyze,Analyze,Analyze,100.0,1,7.74,Exact Match,Exact Match: True. BLEU: 0.322. ROUGE-L: 0.606.
Examine the causes of TCP congestion and analyse how the slow start and congestion avoidance phases respond.,Examine the effectiveness of TCP-based congestion prevention in reducing packet loss.,,Analyze,Analyze,Analyze,100.0,3,13.76,Best Candidate,Exact Match: True. BLEU: 0.036. ROUGE-L: 0.345.
Determine the root cause of priority inversion in a real-time operating system and analyse its impact on system correctness.,Analyze the factors that influence inversion in real-time operating systems.,,Analyze,Analyze,Analyze,100.0,3,14.92,Best Candidate,Exact Match: True. BLEU: 0.056. ROUGE-L: 0.387.
Compare the memory management strategies of paging and segmentation and analyse the fragmentation each produces.,Differentiate the fragmentation caused by paging and segmentation in the given memory management scenario.,,Analyze,Analyze,Analyze,100.0,0,3.78,Exact Match,Exact Match: True. BLEU: 0.103. ROUGE-L: 0.345.
Analyse the impact of high coupling between software modules on maintainability and testability of a large codebase.,Examine how coupling among software modules affects maintainability and testability.,,Analyze,Analyze,Analyze,100.0,0,3.26,Exact Match,Exact Match: True. BLEU: 0.07. ROUGE-L: 0.444.
Examine the architectural flaws in a provided monolithic application and analyse the effort required to migrate it to microservices.,Examine the code structure and determine how it influences deployment performance.,,Apply,Analyze,Analyze,100.0,3,17.58,Best Candidate,Exact Match: True. BLEU: 0.023. ROUGE-L: 0.267.
Compare the average-case and worst-case time complexities of quicksort and heapsort and analyse when each is preferred.,Analyze the time complexity of quicksort and heapsort in terms of average-case and worst-case time complexity.,,Analyze,Analyze,Analyze,100.0,0,4.22,Exact Match,Exact Match: True. BLEU: 0.393. ROUGE-L: 0.378.
Analyse why a hash table with a poor hash function degrades to O(n) search performance and propose a remedy.,Diagnose why a poor hash function in a hash table degrades to O(n) search and identify the mechanism responsible.,,Create,Analyze,Analyze,99.99,0,4.85,Exact Match,Exact Match: True. BLEU: 0.388. ROUGE-L: 0.55.
Compare bias and variance as sources of model error and analyse the effect of increasing model complexity on each.,Analyze how high model complexity increases the probability of misunderstanding and error occurring in the given machine learning dataset.,,Analyze,Analyze,Analyze,100.0,3,13.99,Best Candidate,Exact Match: True. BLEU: 0.029. ROUGE-L: 0.158.
"Examine the differences between batch gradient descent, stochastic gradient descent, and mini-batch gradient descent for large datasets.",Examine the scalability trade-offs of batch gradient descent and mini-batch gradient descent for large datasets.,,Analyze,Analyze,Analyze,100.0,0,3.85,Exact Match,Exact Match: True. BLEU: 0.597. ROUGE-L: 0.743.
Analyse the architectural differences between a rule-based expert system and a neural network classifier for medical diagnosis.,Differentiate the performance trade-offs between rule-based expert systems and neural network classifiers in medical diagnosis.,,Apply,Analyze,Analyze,100.0,0,4.5,Exact Match,Exact Match: True. BLEU: 0.089. ROUGE-L: 0.571.
Examine how a man-in-the-middle attack exploits weaknesses in certificate validation during a TLS handshake.,Analyze the vulnerabilities responsible for a TLS-based authentication failure during a man-in-the-middle attack.,,Analyze,Analyze,Analyze,100.0,3,17.56,Best Candidate,Exact Match: True. BLEU: 0.344. ROUGE-L: 0.353.
Analyse the security implications of storing session tokens in browser cookies versus local storage in a web application.,Differentiate the security implications of storing session tokens in browser cookies and local storage in a web application.,,Analyze,Analyze,Analyze,100.0,0,4.15,Exact Match,Exact Match: True. BLEU: 0.779. ROUGE-L: 0.889.
"Compare the performance characteristics of linked lists and dynamic arrays for insertions, deletions, and random access.","Investigate the behavior of linked lists and dynamic arrays for insertion, deletion, and random access.",,Analyze,Analyze,Analyze,100.0,0,4.06,Exact Match,Exact Match: True. BLEU: 0.475. ROUGE-L: 0.71.
Evaluate the suitability of eventual consistency versus strong consistency for a globally distributed e-commerce inventory system.,Judge the suitability of eventual consistency and strong consistency for a distributed e-commerce inventory system.,,Evaluate,Evaluate,Evaluate,99.99,0,4.44,Exact Match,Exact Match: True. BLEU: 0.579. ROUGE-L: 0.848.
Assess whether de-normalisation is an appropriate optimisation strategy for a read-heavy reporting database and justify your decision.,Assess whether de-normalization is the most suitable optimisation strategy for a heavy reporting workload.,,Evaluate,Evaluate,Evaluate,99.99,1,8.51,Exact Match,Exact Match: True. BLEU: 0.215. ROUGE-L: 0.588.
Critique the use of a flat network topology for a university campus with five thousand devices and recommend an alternative.,Critique the advantages and limitations of a flat topology for a university campus with five thousand devices.,,Evaluate,Evaluate,Evaluate,99.99,0,4.86,Exact Match,Exact Match: True. BLEU: 0.514. ROUGE-L: 0.757.
Evaluate the trade-offs of using a software-defined network versus a traditional hardware-based network in a data centre.,Assess whether a software-defined network is more suitable for reducing the cost of large data center infrastructures.,,Evaluate,Evaluate,Evaluate,99.99,0,4.5,Exact Match,Exact Match: True. BLEU: 0.144. ROUGE-L: 0.263.
Justify whether a ticketing system or a token-based mechanism is more suitable for mutual exclusion in a distributed operating system.,Recommend whether a ticketing system or a token-based mechanism is more suitable for mutual exclusion in a distributed operating system.,,Evaluate,Evaluate,Evaluate,99.99,0,5.25,Exact Match,Exact Match: True. BLEU: 0.949. ROUGE-L: 0.952.
Assess the correctness and efficiency of the LRU page replacement algorithm relative to the optimal algorithm.,Critique the performance trade-offs of the LRU page replacement algorithm versus the optimal algorithm for recovering page memory.,,Evaluate,Evaluate,Evaluate,99.99,0,4.53,Exact Match,Exact Match: True. BLEU: 0.33. ROUGE-L: 0.571.
Evaluate the decision to adopt test-driven development in a safety-critical embedded software project and defend your recommendation.,Recommend a test-driven development approach for developing a safety-critical embedded application.,,Evaluate,Evaluate,Evaluate,91.04,0,4.39,Exact Match,Exact Match: True. BLEU: 0.182. ROUGE-L: 0.438.
Critique a provided software requirements specification document and identify ambiguities that could lead to implementation defects.,Critique the requirements specification and determine whether it adequately satisfies functional requirements.,,Evaluate,Evaluate,Evaluate,99.99,3,15.48,Best Candidate,Exact Match: True. BLEU: 0.031. ROUGE-L: 0.286.
Assess whether a red-black tree or a skip list is a more appropriate data structure for an ordered key-value store.,Assess whether a red-black tree or a skip list is more suitable for an ordered key-value store.,,Evaluate,Evaluate,Evaluate,99.99,0,4.17,Exact Match,Exact Match: True. BLEU: 0.686. ROUGE-L: 0.878.
Evaluate the trade-offs between using an adjacency matrix and an adjacency list for representing sparse graphs.,Evaluate the suitability of adjacency matrix and adjacence list for displaying sparse graphs.,,Evaluate,Evaluate,Evaluate,99.99,3,14.03,Best Candidate,Exact Match: True. BLEU: 0.096. ROUGE-L: 0.6.
Justify the choice of a random forest model over a single decision tree for a fraud detection system.,Justify the use of a single decision tree instead of a random forest model for fraud detection.,,Evaluate,Evaluate,Evaluate,99.99,0,4.48,Exact Match,Exact Match: True. BLEU: 0.407. ROUGE-L: 0.571.
Evaluate whether a recurrent neural network or a transformer architecture is more appropriate for long-document summarisation.,Justify the suitability of recurrent neural networks and transformer models for long-document summarization.,,Evaluate,Evaluate,Evaluate,99.99,0,4.43,Exact Match,Exact Match: True. BLEU: 0.077. ROUGE-L: 0.387.
Assess the ethical implications of deploying a facial recognition system in public spaces and recommend governance policies.,Recommend appropriate governance policies for deploying facial recognition systems in public spaces.,,Evaluate,Evaluate,Evaluate,99.99,3,17.96,Exact Match,Exact Match: True. BLEU: 0.089. ROUGE-L: 0.414.
Evaluate the effectiveness of multi-factor authentication compared to single-factor authentication for securing enterprise systems.,Assess the suitability of multi-factor authentication and single-factor authentication for securing enterprise systems.,,Evaluate,Evaluate,Evaluate,99.99,0,4.27,Exact Match,Exact Match: True. BLEU: 0.548. ROUGE-L: 0.774.
Critique the zero-trust security model and assess its feasibility for a small business with limited IT resources.,Assess the suitability of the zero-trust security model for a small enterprise with limited IT resources.,,Evaluate,Evaluate,Evaluate,99.99,0,4.76,Exact Match,Exact Match: True. BLEU: 0.418. ROUGE-L: 0.686.
